Customer Name,Customer e-mail,Country,Gender,Age,Annual Salary,Credit Card Debt,Net Worth,Car Purchase Amount,
Martina Avila,cubilia.Curae.Phasellus@quisaccumsanconvallis.edu,USA,0,42,"$62,812.09 ","$11,609.38 ","$238,961.25 ","$35,321.46 ",
Harlan Barnes,eu.dolor@diam.co.uk,USA,0,41,"$66,646.89 ","$9,572.96 ","$530,973.91 ","$45,115.53 ",
Naomi Rodriquez,vulputate.mauris.sagittis@ametconsectetueradipiscing.co.uk,USA,1,43,"$53,798.55 ","$11,160.36 ","$638,467.18 ","$42,925.71 ",
Jade Cunningham,malesuada@dignissim.com,USA,1,58,"$79,370.04 ","$14,426.16 ","$548,599.05 ","$67,422.36 ",
Cedric Leach,felis.ullamcorper.viverra@egetmollislectus.net,USA,1,57,"$59,729.15 ","$5,358.71 ","$560,304.07 ","$55,915.46 ",
Carla Hester,mi@Aliquamerat.edu,USA,1,57,"$68,499.85 ","$14,179.47 ","$428,485.36 ","$56,612.00 ",
Griffin Rivera,vehicula@at.co.uk,USA,1,47,"$39,814.52 ","$5,958.46 ","$326,373.18 ","$28,925.71 ",
Orli Casey,nunc.est.mollis@Suspendissetristiqueneque.co.uk,USA,1,50,"$51,752.23 ","$10,985.70 ","$629,312.40 ","$47,434.98 ",
Marny Obrien,Phasellus@sedsemegestas.org,USA,0,47,"$58,139.26 ","$3,440.82 ","$630,059.03 ","$48,013.61 ",
Rhonda Chavez,nec@nuncest.com,USA,1,43,"$53,457.10 ","$12,884.08 ","$476,643.35 ","$38,189.51 ",
Jerome Rowe,ipsum.cursus@dui.org,USA,1,50,"$73,348.71 ","$8,270.71 ","$612,738.62 ","$59,045.51 ",
Akeem Gibson,turpis.egestas.Fusce@purus.edu,USA,1,53,"$55,421.66 ","$10,014.97 ","$293,862.51 ","$42,288.81 ",
Quin Smith,nulla@ipsum.edu,USA,0,44,"$37,336.34 ","$10,218.32 ","$430,907.17 ","$28,700.03 ",
Tatum Moon,Cras.sed.leo@Seddiamlorem.ca,USA,0,48,"$68,304.47 ","$9,467.00 ","$420,322.07 ","$49,258.88 ",
Sharon Sharpe,eget.metus@aaliquetvel.co.uk,USA,0,55,"$72,776.00 ","$10,597.64 ","$146,344.90 ","$49,510.03 ",
Thomas Williams,aliquet.molestie@ut.org,USA,1,53,"$64,662.30 ","$11,326.03 ","$481,433.43 ","$53,017.27 ",
Blaine Bender,ultrices.posuere.cubilia@pedenonummyut.net,USA,0,45,"$63,259.88 ","$11,495.55 ","$370,356.22 ","$41,814.72 ",
Stephen Lindsey,erat.eget.ipsum@tinciduntpede.org,USA,1,48,"$52,682.06 ","$12,514.52 ","$549,443.59 ","$43,901.71 ",
Sloane Mann,at.augue@augue.net,USA,1,52,"$54,503.14 ","$7,377.82 ","$431,099.00 ","$44,633.99 ",
